2019-11-06 15:08:06.744 [restartedMain] INFO  com.example.demo.DemoApplication - Starting DemoApplication on SST-OCHO with PID 1720 (C:\MrX\springbootDemo\first\mavenDemoForSpringBoot\target\classes started by yxie in C:\MrX\springbootDemo\first\mavenDemoForSpringBoot)
2019-11-06 15:08:06.748 [restartedMain] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2019-11-06 15:08:06.852 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-11-06 15:08:06.852 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-11-06 15:08:10.206 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'countryPostalCodeDao' and 'com.example.demo.dao.CountryPostalCodeDao' mapperInterface. Bean already defined with the same name!
2019-11-06 15:08:10.207 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'mpUserMapper' and 'com.example.demo.dao.MpUserMapper' mapperInterface. Bean already defined with the same name!
2019-11-06 15:08:10.208 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'shippingCostAreaDao' and 'com.example.demo.dao.ShippingCostAreaDao' mapperInterface. Bean already defined with the same name!
2019-11-06 15:08:10.208 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'shippingCostCrawlerDao' and 'com.example.demo.dao.ShippingCostCrawlerDao' mapperInterface. Bean already defined with the same name!
2019-11-06 15:08:10.209 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'sysUserDao' and 'com.example.demo.dao.SysUserDao' mapperInterface. Bean already defined with the same name!
2019-11-06 15:08:10.209 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userMapper' and 'com.example.demo.dao.UserMapper' mapperInterface. Bean already defined with the same name!
2019-11-06 15:08:10.210 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.example.demo.dao]' package. Please check your configuration.
2019-11-06 15:08:10.429 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-06 15:08:10.433 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
